item,itemLabel,dplace,dplaceLabel,dgeo,dmanner,dmannerLabel,dcause,dcauseLabel,burial,burialLabel,burialgeo
http://www.wikidata.org/entity/Q15845889,Ирина Николаевна Медведева-Томашевская,http://www.wikidata.org/entity/Q1026062,Гурзуф,Point(34.2875 44.552777777),,,,,,,
http://www.wikidata.org/entity/Q15955386,Wilhelm von Freygang,http://www.wikidata.org/entity/Q641,Венеция,Point(12.331944444 45.439722222),,,,,,,
http://www.wikidata.org/entity/Q15720373,Елена Фёдоровна Писарева,http://www.wikidata.org/entity/Q71,Женева,Point(6.15 46.2),,,,,,,
http://www.wikidata.org/entity/Q15720364,Иосиф Лейбович Оршер,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q15720411,Фёдор Дмитриевич Студитский,http://www.wikidata.org/entity/Q2566158,Новгородская губерния,Point(32.38333333 58.43333333),,,,,,,
http://www.wikidata.org/entity/Q16165781,"Авдышев, Алексей Иванович",http://www.wikidata.org/entity/Q1895,Петрозаводск,Point(34.35 61.783333333),,,,,,,
http://www.wikidata.org/entity/Q15987168,Борис Леонидович Седерхольм,http://www.wikidata.org/entity/Q1757,Хельсинки,Point(24.93417 60.17556),,,,,,,
http://www.wikidata.org/entity/Q16271965,"Александров, Григорий Николаевич",http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q16145925,Арутюн Манукович Аламдарян,http://www.wikidata.org/entity/Q1347765,Нахичевань-на-Дону,Point(39.756944444 47.231388888),,,,,,,
http://www.wikidata.org/entity/Q15720428,Григорий Александрович Хованский,http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15993295,"Бранкевич, Михаил Степанович",http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),,,,,,,
http://www.wikidata.org/entity/Q15996184,"Волконская, Мария Михайловна",http://www.wikidata.org/entity/Q220,Рим,Point(12.482777777 41.893055555),,,,,,,
http://www.wikidata.org/entity/Q15723462,Пётр Яковлевич Веселов,http://www.wikidata.org/entity/Q45605,Ржевский район,Point(34.3275 56.26555556),,,,,,,
http://www.wikidata.org/entity/Q15845827,"Меньшиков, Иван Николаевич",http://www.wikidata.org/entity/Q386487,Мозырь,Point(29.233333333 52.05),,,,,,,
http://www.wikidata.org/entity/Q15720395,Александр Гаврилович Ротчев,http://www.wikidata.org/entity/Q5332,Саратов,Point(46.0 51.533333333),,,,,,,
http://www.wikidata.org/entity/Q15994112,Нугзар Шатаидзе,http://www.wikidata.org/entity/Q994,Тбилиси,Point(44.7925 41.7225),,,,,,,
http://www.wikidata.org/entity/Q15829799,"Хамидов, Абдул-Хамид Хамидович",http://www.wikidata.org/entity/Q5196,Грозный,Point(45.698611111 43.3125),,,http://www.wikidata.org/entity/Q9687,дорожно-транспортное происшествие,,,
http://www.wikidata.org/entity/Q15986659,"Ануфриева, Альбина Зиновьевна",http://www.wikidata.org/entity/Q2143,Сыктывкар,Point(50.816666666 61.666666666),,,,,,,
http://www.wikidata.org/entity/Q15890750,"Коваленко, Виктор Антонович",http://www.wikidata.org/entity/Q2280,Минск,Point(27.561837 53.902246),,,,,,,
http://www.wikidata.org/entity/Q15720380,Виктор Лазаревич Поляков,http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444),,,,,,,
http://www.wikidata.org/entity/Q15993278,Владимир Петрович Бурнашев,http://www.wikidata.org/entity/Q656,Санкт-Петербург,Point(30.316666666 59.95),,,,,,,
http://www.wikidata.org/entity/Q16169880,Q16169880,http://www.wikidata.org/entity/Q12439,Детройт,Point(-83.0475 42.331666666),,,,,,,
http://www.wikidata.org/entity/Q16272870,"Ахметшин, Габдулла Габдрахманович",http://www.wikidata.org/entity/Q911,Уфа,Point(55.9475 54.726111111),,,,,,,
http://www.wikidata.org/entity/Q16273305,"Барский, Вилен Исаакович",http://www.wikidata.org/entity/Q1295,Дортмунд,Point(7.465277777 51.513888888),,,,,,,
http://www.wikidata.org/entity/Q15845918,"Борисов, Вадим Михайлович",http://www.wikidata.org/entity/Q622691,Апшуциемс,Point(23.30694444 57.06083333),,,http://www.wikidata.org/entity/Q506616,утопление,,,
http://www.wikidata.org/entity/Q16368455,Анаит Арамовна Сагинян,http://www.wikidata.org/entity/Q1953,Ереван,Point(44.514444444 40.181388888),,,,,,,
http://www.wikidata.org/entity/Q16366418,Q16366418,http://www.wikidata.org/entity/Q9248,Баку,Point(49.835183333 40.366655555),,,http://www.wikidata.org/entity/Q9687,дорожно-транспортное происшествие,,,
http://www.wikidata.org/entity/Q16363404,"Ванага, Мелания",http://www.wikidata.org/entity/Q1044023,Царникава,Point(24.283333333 57.133333333),,,,,,,
http://www.wikidata.org/entity/Q16366909,Q16366909,http://www.wikidata.org/entity/Q994,Тбилиси,Point(44.7925 41.7225),,,,,,,
http://www.wikidata.org/entity/Q16358677,Юрис Нейкен,http://www.wikidata.org/entity/Q15219931,Умурга,Point(24.80777778 57.51916667),,,,,,,
