item,itemLabel,count
http://www.wikidata.org/entity/Q2564168,Иван Иванович Дмитриев,2
http://www.wikidata.org/entity/Q2627596,Николай Алексеевич Полевой,2
http://www.wikidata.org/entity/Q725191,"Якобсон, Карл Роберт",2
http://www.wikidata.org/entity/Q4250337,Иван Афанасьевич Кущевский,2
http://www.wikidata.org/entity/Q2622325,Константин Дмитриевич Ушинский,2
http://www.wikidata.org/entity/Q713443,"Ан-ский, Семён Акимович",2
http://www.wikidata.org/entity/Q722164,Сергей Михайлович Третьяков,2
http://www.wikidata.org/entity/Q722730,Константин Сергеевич Аксаков,2
http://www.wikidata.org/entity/Q720198,Владимир Александрович Соллогуб,2
http://www.wikidata.org/entity/Q4107063,Зинаида Афанасьевна Венгерова,2
http://www.wikidata.org/entity/Q4107294,"Венюков, Михаил Иванович",2
http://www.wikidata.org/entity/Q2664172,"Свечина, Софья Петровна",2
http://www.wikidata.org/entity/Q2623476,"Чечот, Ян",2
http://www.wikidata.org/entity/Q2642033,Александр Самойлович Элиасберг,2
http://www.wikidata.org/entity/Q4112079,"Виртанен, Ялмари Эрикович",2
http://www.wikidata.org/entity/Q2717801,Лев Александрович Мей,2
http://www.wikidata.org/entity/Q790333,Аветис Агаронян,2
http://www.wikidata.org/entity/Q2655647,Ваан Терьян,2
http://www.wikidata.org/entity/Q2659515,Николай Андреевич Маркевич,2
http://www.wikidata.org/entity/Q2891763,Стефан Витвицкий,2
http://www.wikidata.org/entity/Q973270,"Доленга-Мостович, Тадеуш",2
http://www.wikidata.org/entity/Q2996685,Франтишек Олехнович,2
http://www.wikidata.org/entity/Q2997661,Гусейн Джавид,2
http://www.wikidata.org/entity/Q962710,"Пинскер, Леон",2
http://www.wikidata.org/entity/Q2791424,"Петкевич, Антони Антонович",2
http://www.wikidata.org/entity/Q981171,Виталий Валентинович Бианки,2
http://www.wikidata.org/entity/Q968274,Иван Иванович Козлов,2
http://www.wikidata.org/entity/Q2992931,Иван Иванович Панаев,2
http://www.wikidata.org/entity/Q2911049,Борис Васильевич Варнеке,2
http://www.wikidata.org/entity/Q4283723,Константин Петрович Масальский,2
http://www.wikidata.org/entity/Q4505332,Дмитрий Николаевич Цертелев,2
http://www.wikidata.org/entity/Q1029052,Франс Кюльпе,2
http://www.wikidata.org/entity/Q4293952,Дмитрий Дмитриевич Минаев,2
http://www.wikidata.org/entity/Q2941038,"Бродзинский, Казимир",2
http://www.wikidata.org/entity/Q2965851,Q2965851,2
http://www.wikidata.org/entity/Q4404112,"Савич, Франц Андреевич",2
http://www.wikidata.org/entity/Q983167,Михаил Станиславович Чайковский,2
http://www.wikidata.org/entity/Q2995798,"Ластовский, Вацлав Устинович",2
http://www.wikidata.org/entity/Q3308432,Микаэл Налбандян,2
http://www.wikidata.org/entity/Q4522683,Александр Константинович Шеллер,2
http://www.wikidata.org/entity/Q1346366,Осип Максимович Бодянский,2
http://www.wikidata.org/entity/Q1071841,Мирра Александровна Лохвицкая,2
http://www.wikidata.org/entity/Q1228391,"Мещеряков, Николай Леонидович",2
http://www.wikidata.org/entity/Q1282960,Владимир Дмитриевич Бонч-Бруевич,2
http://www.wikidata.org/entity/Q4424727,"Смирнов, Николай Григорьевич",2
http://www.wikidata.org/entity/Q4519851,"Шамбинаго, Сергей Константинович",2
http://www.wikidata.org/entity/Q4524951,"Шкваркин, Василий Васильевич",2
http://www.wikidata.org/entity/Q4442904,Любовь Никитична Столица,2
http://www.wikidata.org/entity/Q4443146,Алексей Петрович Стороженко,2
http://www.wikidata.org/entity/Q3187274,Q3187274,2
http://www.wikidata.org/entity/Q3202584,Влас Михайлович Дорошевич,2
http://www.wikidata.org/entity/Q3442373,Вера Петровна Желиховская,2
http://www.wikidata.org/entity/Q4334759,Иннокентий Васильевич Омулевский,2
http://www.wikidata.org/entity/Q1375599,"Пидмогильный, Валерьян Петрович",2
http://www.wikidata.org/entity/Q1376036,Лев Осипович Гордон,2
http://www.wikidata.org/entity/Q1376466,Йонас Билюнас,2
http://www.wikidata.org/entity/Q1377569,Григорий Николаевич Потанин,2
http://www.wikidata.org/entity/Q4334206,"Ольхин, Александр Александрович",2
http://www.wikidata.org/entity/Q4439957,Михаил Петрович Старицкий,2
http://www.wikidata.org/entity/Q4535566,Семён Соломонович Юшкевич,2
http://www.wikidata.org/entity/Q4329176,Константин Михайлович Оберучев,2
http://www.wikidata.org/entity/Q4329536,"Оболенский, Леонид Егорович",2
http://www.wikidata.org/entity/Q4338397,Михаил Андреевич Осоргин,2
http://www.wikidata.org/entity/Q4828436,Аветис Назарбекян,2
http://www.wikidata.org/entity/Q4892765,Адам Шиманский,2
http://www.wikidata.org/entity/Q3646436,"Демирчян, Дереник Карапетович",2
http://www.wikidata.org/entity/Q4720257,Александр Цатурян,2
http://www.wikidata.org/entity/Q1873662,"Семеньский, Люциан",2
http://www.wikidata.org/entity/Q1894116,Михаил Балуцкий,2
